PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_103,Y,Bomen solar farm 2021 14 1.8 Hay model.csv,14,1.8,24_10_08_Match_measured_inv_2_103
SIM_104,Y,Bomen solar farm 2021 14 1.9 Hay model.csv,14,1.9,24_10_08_Match_measured_inv_2_104
SIM_105,Y,Bomen solar farm 2021 14 2.0 Hay model.csv,14,2,24_10_08_Match_measured_inv_2_105
SIM_106,Y,Bomen solar farm 2021 15 0.0 Hay model.csv,15,0,24_10_08_Match_measured_inv_2_106
SIM_107,Y,Bomen solar farm 2021 15 0.1 Hay model.csv,15,0.1,24_10_08_Match_measured_inv_2_107
SIM_108,Y,Bomen solar farm 2021 15 0.2 Hay model.csv,15,0.2,24_10_08_Match_measured_inv_2_108
SIM_109,Y,Bomen solar farm 2021 15 0.3 Hay model.csv,15,0.3,24_10_08_Match_measured_inv_2_109
SIM_110,Y,Bomen solar farm 2021 15 0.4 Hay model.csv,15,0.4,24_10_08_Match_measured_inv_2_110
SIM_111,Y,Bomen solar farm 2021 15 0.5 Hay model.csv,15,0.5,24_10_08_Match_measured_inv_2_111
SIM_112,Y,Bomen solar farm 2021 15 0.6 Hay model.csv,15,0.6,24_10_08_Match_measured_inv_2_112
SIM_113,Y,Bomen solar farm 2021 15 0.7 Hay model.csv,15,0.7,24_10_08_Match_measured_inv_2_113
SIM_114,Y,Bomen solar farm 2021 15 0.8 Hay model.csv,15,0.8,24_10_08_Match_measured_inv_2_114
SIM_115,Y,Bomen solar farm 2021 15 0.9 Hay model.csv,15,0.9,24_10_08_Match_measured_inv_2_115
SIM_116,Y,Bomen solar farm 2021 15 1.0 Hay model.csv,15,1,24_10_08_Match_measured_inv_2_116
SIM_117,Y,Bomen solar farm 2021 15 1.1 Hay model.csv,15,1.1,24_10_08_Match_measured_inv_2_117
SIM_118,Y,Bomen solar farm 2021 15 1.2 Hay model.csv,15,1.2,24_10_08_Match_measured_inv_2_118
SIM_119,Y,Bomen solar farm 2021 15 1.3 Hay model.csv,15,1.3,24_10_08_Match_measured_inv_2_119
SIM_120,Y,Bomen solar farm 2021 15 1.4 Hay model.csv,15,1.4,24_10_08_Match_measured_inv_2_120
SIM_121,Y,Bomen solar farm 2021 15 1.5 Hay model.csv,15,1.5,24_10_08_Match_measured_inv_2_121
SIM_122,Y,Bomen solar farm 2021 15 1.6 Hay model.csv,15,1.6,24_10_08_Match_measured_inv_2_122
SIM_123,Y,Bomen solar farm 2021 15 1.7 Hay model.csv,15,1.7,24_10_08_Match_measured_inv_2_123
SIM_124,Y,Bomen solar farm 2021 15 1.8 Hay model.csv,15,1.8,24_10_08_Match_measured_inv_2_124
SIM_125,Y,Bomen solar farm 2021 15 1.9 Hay model.csv,15,1.9,24_10_08_Match_measured_inv_2_125
SIM_126,Y,Bomen solar farm 2021 15 2.0 Hay model.csv,15,2,24_10_08_Match_measured_inv_2_126
