Timestamp,PVsyst,Measured,Residual,Season
2021-04-23,466.2943029170196,454.11899999999997,12.175302917019621,Autumn
2021-04-24,561.8769211390323,568.975,-7.098078860967689,Autumn
2021-04-25,602.5137527797763,601.1653333333333,1.3484194464430175,Autumn
2021-04-26,647.4390054712574,649.1765833333333,-1.7375778620759093,Autumn
2021-04-27,600.9534028670928,613.2212499999999,-12.26784713290715,Autumn
2021-04-28,508.83471395200104,508.4651666666666,0.36954728533441994,Autumn
2021-04-29,566.0236994671021,571.8973333333333,-5.873633866231216,Autumn
2021-04-30,551.2700566762716,555.2268333333333,-3.9567766570617096,Autumn
2021-05-01,485.77772966235153,502.9773333333333,-17.199603670981787,Autumn
2021-05-02,452.64663234436006,456.0974166666666,-3.4507843223065606,Autumn
2021-05-03,389.24949664394,397.4343333333333,-8.184836689393308,Autumn
2021-05-04,110.71634990177168,132.61708333333334,-21.90073343156166,Autumn
2021-05-05,421.626306089377,423.13141666666667,-1.5051105772896562,Autumn
2021-05-06,520.0014994123483,516.6135833333333,3.3879160790149854,Autumn
2021-05-07,466.56476356855137,462.11625,4.448513568551391,Autumn
2021-05-08,331.1346560147437,329.7175833333333,1.4170726814103887,Autumn
2021-05-09,485.0804408733655,497.16666666666663,-12.08622579330114,Autumn
2021-05-10,278.66604960535517,282.7655,-4.099450394644805,Autumn
2021-05-11,235.63639643641207,239.95524999999998,-4.318853563587908,Autumn
2021-05-12,468.7079291107212,462.4780833333333,6.2298457773878795,Autumn
2021-05-13,486.52004772735665,475.95574999999997,10.564297727356688,Autumn
2021-05-14,364.8577838140651,374.803,-9.945216185934896,Autumn
2021-05-15,454.2785161069218,454.1715,0.10701610692183294,Autumn
2021-05-16,435.3052311595265,441.4065,-6.1012688404734945,Autumn
2021-05-17,313.8637436965896,307.63741666666664,6.22632702992297,Autumn
2021-05-18,495.92090658028394,498.4188333333333,-2.4979267530493416,Autumn
2021-05-19,475.95118265364135,476.6624166666666,-0.7112340130252619,Autumn
2021-05-20,427.4024982197206,440.9833333333333,-13.580835113612693,Autumn
2021-05-21,512.4725854622781,515.4914166666666,-3.0188312043885617,Autumn
2021-05-22,488.68078798696,508.4448333333333,-19.76404534637328,Autumn
2021-05-23,502.5228254345877,510.9120833333333,-8.389257898745655,Autumn
2021-05-24,438.7545307016649,455.3421666666666,-16.58763596500171,Autumn
2021-05-25,402.5280981504945,424.32475,-21.79665184950551,Autumn
2021-05-26,166.6843200483662,188.46858333333333,-21.784263284967125,Autumn
2021-05-27,292.8343118079389,319.51025,-26.675938192061096,Autumn
2021-05-28,434.4746595134631,422.8761666666666,11.59849284679649,Autumn
2021-05-29,528.9670752637587,523.1911666666666,5.775908597092098,Autumn
2021-05-30,523.5993765656549,510.7830833333333,12.816293232321584,Autumn
2021-05-31,509.26334706043497,505.2128333333333,4.050513727101645,Autumn
2021-06-01,173.46322105714958,199.10158333333334,-25.638362276183756,Winter
2021-06-02,291.11749941086026,291.36966666666666,-0.2521672558063983,Winter
2021-06-03,66.73604701738121,87.54225,-20.806202982618785,Winter
2021-06-04,209.24420577023346,195.80166666666665,13.442539103566816,Winter
2021-06-05,427.6431293508516,418.01516666666663,9.627962684184979,Winter
2021-06-07,372.44122688741567,357.49316666666664,14.948060220749028,Winter
2021-06-08,172.91612485336609,173.74908333333332,-0.8329584799672318,Winter
2021-06-09,145.9852928474666,144.55758333333333,1.4277095141332836,Winter
2021-06-10,430.91487674767467,415.7751666666666,15.139710081008047,Winter
2021-06-12,88.56764600878381,93.98216666666666,-5.414520657882846,Winter
2021-06-13,132.95026742469418,143.26775,-10.317482575305831,Winter
2021-06-14,239.58795290326026,238.19141666666664,1.3965362365936187,Winter
2021-06-19,439.5073935971302,443.0455,-3.5381064028698006,Winter
