PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 09/09/25 14:35,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,24_10_08_Match_measured inv 1-1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_122,Y,Bomen solar farm 2021 15 1.6 Perez model.csv,15,1.6,24_10_08_Match_measured_inv_2_1Uc15Uv1.6
SIM_123,Y,Bomen solar farm 2021 15 1.7 Perez model.csv,15,1.7,24_10_08_Match_measured_inv_2_1Uc15Uv1.7
SIM_124,Y,Bomen solar farm 2021 15 1.8 Perez model.csv,15,1.8,24_10_08_Match_measured_inv_2_1Uc15Uv1.8
SIM_125,Y,Bomen solar farm 2021 15 1.9 Perez model.csv,15,1.9,24_10_08_Match_measured_inv_2_1Uc15Uv1.9
SIM_126,Y,Bomen solar farm 2021 15 2.0 Perez model.csv,15,2,24_10_08_Match_measured_inv_2_1Uc15Uv2
SIM_127,Y,Bomen solar farm 2021 16 0.0 Perez model.csv,16,0,24_10_08_Match_measured_inv_2_1Uc16Uv0
SIM_128,Y,Bomen solar farm 2021 16 0.1 Perez model.csv,16,0.1,24_10_08_Match_measured_inv_2_1Uc16Uv0.1
SIM_129,Y,Bomen solar farm 2021 16 0.2 Perez model.csv,16,0.2,24_10_08_Match_measured_inv_2_1Uc16Uv0.2
SIM_130,Y,Bomen solar farm 2021 16 0.3 Perez model.csv,16,0.3,24_10_08_Match_measured_inv_2_1Uc16Uv0.3
SIM_131,Y,Bomen solar farm 2021 16 0.4 Perez model.csv,16,0.4,24_10_08_Match_measured_inv_2_1Uc16Uv0.4
SIM_132,Y,Bomen solar farm 2021 16 0.5 Perez model.csv,16,0.5,24_10_08_Match_measured_inv_2_1Uc16Uv0.5
SIM_133,Y,Bomen solar farm 2021 16 0.6 Perez model.csv,16,0.6,24_10_08_Match_measured_inv_2_1Uc16Uv0.6
SIM_134,Y,Bomen solar farm 2021 16 0.7 Perez model.csv,16,0.7,24_10_08_Match_measured_inv_2_1Uc16Uv0.7
SIM_135,Y,Bomen solar farm 2021 16 0.8 Perez model.csv,16,0.8,24_10_08_Match_measured_inv_2_1Uc16Uv0.8
SIM_136,Y,Bomen solar farm 2021 16 0.9 Perez model.csv,16,0.9,24_10_08_Match_measured_inv_2_1Uc16Uv0.9
SIM_137,Y,Bomen solar farm 2021 16 1.0 Perez model.csv,16,1,24_10_08_Match_measured_inv_2_1Uc16Uv1
SIM_138,Y,Bomen solar farm 2021 16 1.1 Perez model.csv,16,1.1,24_10_08_Match_measured_inv_2_1Uc16Uv1.1
SIM_139,Y,Bomen solar farm 2021 16 1.2 Perez model.csv,16,1.2,24_10_08_Match_measured_inv_2_1Uc16Uv1.2
SIM_140,Y,Bomen solar farm 2021 16 1.3 Perez model.csv,16,1.3,24_10_08_Match_measured_inv_2_1Uc16Uv1.3
SIM_141,Y,Bomen solar farm 2021 16 1.4 Perez model.csv,16,1.4,24_10_08_Match_measured_inv_2_1Uc16Uv1.4
SIM_142,Y,Bomen solar farm 2021 16 1.5 Perez model.csv,16,1.5,24_10_08_Match_measured_inv_2_1Uc16Uv1.5
